NR_VIN;Rodzaj;Marka;Model;Rocznik
JTNBK3JF1J3145678;O;Toyota;Corolla;2018
WVWZZZ1JZXW123456;O;Volkswagen;Golf;2016
WF0SXXGCBJY345678;O;Ford;Focus;2013
WBA8C3C51H9743126;O;BMW;320i;2017
WAUZL98T5FA123456;O;Audi;A4;2020
WDD1760211J123456;O;Mercedes-Benz;A-Class;2018
TMBJD61U9FZ123456;O;Skoda;Octavia;2015
VF1BZD20023754897;O;Renault;Clio;2022
1FWCZ51A3XH123456;O;Peugeot;308;2018
W0L0AHL48H1145678;O;Opel;Astra;2003
3C3CFFFAXKT123456;O;Fiat;500;2020
SHHFK8770HU234567;O;Honda;Civic;2008
U5YGD53LMMJ123456;O;Kia;Ceed;2019
JM1BP2238X1234567;O;Mazda;3;2020
KMHGD31RMGU123456;O;Hyundai;i30;2017
JH2PC5010LK123456;M;Honda;CB500F;2020
WDB96312345678901;C;Mercedes-Benz;Actros;2018
