NR_OEM;NAZWA;OPIS
1J0407151C;Wahacz przedni lewy
1J0407152C;Wahacz przedni prawy
1J0501529G;Wahacz tylny lewy
1J0501530G;Wahacz tylny prawy
552102G100;Wahacz tylny lewy
552202G100;Wahacz tylny prawy
1J0422811B;Końcówka drążka kierowniczego lewa
1J0422812B;Końcówka drążka kierowniczego prawa
8N0601025A;Felga aluminiowa 16"
G052167M4;Olej silnikowy 5W-30
G013A8J1G;Płyn chłodniczy G13
1J0129620;Filtr powietrza
04E115561H;Filtr oleju
1J0819644A;Filtr kabinowy
1J0698451F;Klocki hamulcowe przednie
1J0615301AA;Tarcza hamulcowa przednia
038103483E;Uszczelka pokrywy zaworów
1J0919051D;Pompa paliwowa
038103383M;Uszczelka głowicy
1J0853855;Próg lewy
1J0853856;Próg prawy
