ID_RODZAJU;NAZWA;OPIS
POD;Podnośnik;Stanowisko do większości napraw podwozia, zawieszenia, układu wydechowego i wymiany oleju.
DIA;Diagnostyka komputerowa;Stanowisko do analizy usterek z wykorzystaniem systemów diagnostyki komputerowej.
WUL;Wulkanizacja;Stanowisko do wymiany opon, ich naprawy oraz wyważania kół.
BLH;Blacharnia;Stanowisko do napraw blacharskich, w tym prostowania i spawania elementów karoserii.
LAK;Lakiernia;Stanowisko do lakierowania i malowania karoserii.
KLI;Serwis klimatyzacji;Stanowisko do diagnostyki, naprawy i napełniania układu klimatyzacji.
GEO;Geometria kół;Stanowisko do ustawiania zbieżności kół oraz regulacji zawieszenia.
ELE;Elektromechanika;Stanowisko do napraw instalacji elektrycznych oraz systemów mechaniczno-elektrycznych.
MYJ;Myjnia;Stanowisko do mycia zewnętrznego i wewnętrznego pojazdów.



