ID_WIZYTY;LOKALIZACJA;OPIS
1;Lewe lusterko;Zarysowanie
2;Prawy błotnik;Wgniecenie
3;Maska;Obtarcie
4;Tylne lewe drzwi;Zarysowanie
5;Przedni zderzak;Pęknięcie
6;Prawy reflektor;Pęknięcie
7;Tylne prawe drzwi;Wgniecenie
8;Lewe nadkole;Zarysowanie
9;Tylni zderzak;Wgniecenie
10;Szyba przednia;Pęknięcie
11;Dach;Obtarcie
12;Bagażnik;Zarysowanie
13;Przednia lewa opona;Przebicie
14;Przednia prawa opona;Obtarcie
15;Prawy próg;Zarysowanie
16;Tylne lewe światło;Pęknięcie
17;Prawy nadkole;Wgniecenie
18;Lewe tylne koło;Obtarcie
19;Kratka wentylacyjna;Pęknięcie
20;Przednia maskownica;Zarysowanie
